Create SM4 Enclave...

pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0730, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0760, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0790, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0820, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0850, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0880, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0910, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0940, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.0970, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1000, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1030, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1060, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1090, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1120, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1150, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1180, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1210, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1240, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1270, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1300, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1330, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1360, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1390, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1420, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1450, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1480, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1510, fault_width 0.000054, delay 0.000000
pre_volt 0.0600, pre_width 0.000025, fault_volt 0.1540, fault_width 0.000054, delay 0.000000
[Enclave]: find fault at iterations 194
[Enclave]: difference found at block 2943
0x50 0x00 0x93 0xf4 0xaf 0xce 0xc8 0x45 0x1c 0x8d 0x37 0xc5 0x19 0xd8 0xf0 0x30 

