Create SM4 Enclave...

pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0630, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0660, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0690, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0720, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0750, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0780, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0810, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0840, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0870, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0900, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0930, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0960, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.0990, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1020, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1050, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1080, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1110, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1140, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1170, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1200, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1230, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1260, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1290, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1320, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1350, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1380, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1410, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1440, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1470, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1500, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1530, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1560, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1590, fault_width 0.000044, delay 0.000000
[Enclave]: find fault at iterations 611
[Enclave]: difference found at block 3344
0xc9 0x8b 0x45 0xc3 0xe6 0x75 0xbd 0x21 0x77 0x56 0x73 0xb8 0x57 0xf9 0x97 0x6f 

pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1620, fault_width 0.000044, delay 0.000000
pre_volt 0.0500, pre_width 0.000025, fault_volt 0.1650, fault_width 0.000044, delay 0.000000
