Create SM4 Enclave...

pre_volt 0.0750, pre_width 0.000025, fault_volt 0.0880, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.0910, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.0940, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.0970, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1000, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1030, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1060, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1090, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1120, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1150, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1180, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1210, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1240, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1270, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1300, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1330, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1360, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1390, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1420, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1450, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1480, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1510, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1540, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1570, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1600, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1630, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1660, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1690, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1720, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1750, fault_width 0.000048, delay 0.000000
[Enclave]: find fault at iterations 418
[Enclave]: difference found at block 2534
0x71 0x14 0xe5 0xcc 0xc2 0x35 0x4e 0x6d 0x49 0x9a 0xb1 0x28 0x26 0xb8 0x9b 0xca 

pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1780, fault_width 0.000048, delay 0.000000
pre_volt 0.0750, pre_width 0.000025, fault_volt 0.1810, fault_width 0.000048, delay 0.000000
