init RSA...
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1130, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1160, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1190, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1220, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1250, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1280, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1310, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1340, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1370, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1400, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1430, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1460, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1490, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1520, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1550, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1580, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1610, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1640, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1670, fault_width 0.000075, delay 0.000000
pre_volt 0.0900, pre_width 0.000040, fault_volt 0.1700, fault_width 0.000075, delay 0.000000
