init RSA...
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.0930, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.0960, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.0990, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1020, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1050, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1080, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1110, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1140, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1170, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1200, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1230, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1260, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1290, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1320, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1350, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1380, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1410, fault_width 0.000065, delay 0.000000
pre_volt 0.0700, pre_width 0.000040, fault_volt 0.1440, fault_width 0.000065, delay 0.000000
